StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,2_4,2_5,3_1,3_2,3_3,3_4,3_5,4_1,4_2,4_3,4_4,4_5,5_1,5_2,5_3,5_4,5_5,6_1,6_2,6_3,6_4,6_5,7_1,7_2,7_3,7_4,7_5,8_1,8_2,8_3,8_4,8_5
6/2/20 11:02,6/2/20 11:55,IP Address,,100,3166,TRUE,6/2/20 11:55,R_31ZCAUwaZxA9ORG,,,,,,,anonymous,EN,Lucifer Morningstar,fallen1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/20 11:55,6/2/20 12:00,IP Address,,100,303,TRUE,6/2/20 12:00,R_302ncfXmkIgH9w6,,,,,,,anonymous,EN,Jon Snow,lordcommander,7,1.4,3.5,8,5.3,7.2,5.7,3,5.3,9.2,4,7.2,8.8,3.4,6.1,9,6.8,9.6,1.4,4.2,8,1,8.1,6.1,9.7,8.9,7.2,10,4,2.5
6/2/20 12:04,6/2/20 12:07,IP Address,,100,172,TRUE,6/2/20 12:07,R_2aCtw4z0AMWyPt2,,,,,,,anonymous,EN,Anakin Skywalker,chosen1,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,0,10,0,10,0
6/2/20 12:07,6/2/20 12:13,IP Address,,100,348,TRUE,6/2/20 12:13,R_RltDmSGlGkm86fn,,,,,,,anonymous,EN,Obi-Wan Kenobi,oldben,10,10,10,9.4,9.3,0,0.4,0.1,0.3,0.8,8.9,9.3,9.7,9.9,9.9,0.2,0.2,0,0.6,0.1,9.4,9.9,9.6,10,9.7,0.1,0.4,0.1,0.6,1.1
6/2/20 12:14,6/2/20 12:17,IP Address,,100,164,TRUE,6/2/20 12:17,R_1eDACLQeZYG3SoO,,,,,,,anonymous,EN,Sheev Palpatine,emperor,2.9,2.9,2.8,2.8,2.7,7,7,7.1,7.1,7.1,2.6,2.6,2.6,2.7,2.8,7.1,7.1,7.1,7.1,7.1,6.4,2.3,2.4,7.3,7.4,1.9,1.8,1.9,2.7,1.8
6/4/20 12:27,6/4/20 12:30,IP Address,,100,181,TRUE,6/4/20 12:30,R_23TSxyv4aXid9bh,,,,,,,anonymous,EN,Bruno Mars,bmars,7.2,3.8,8.3,5,10,0,3.7,1.4,5,4.6,10,5.6,7.7,3.7,5,2.9,8.7,6.4,2,10,3,1,3.1,3.3,10,2.9,8.2,6.8,3.9,2.5
6/4/20 12:33,6/4/20 12:35,IP Address,,100,76,TRUE,6/4/20 12:35,R_3KMDNRxjxk5SwxM,,,,,,,anonymous,EN,Mruno Bars,mbars,1.1,2.7,4.5,5.5,6.9,0,1,1.8,2.8,4.1,7.6,3.3,5.7,7.6,9.4,2.8,9.1,7.1,1.5,4.9,8.9,8.3,7,6.2,5,1.5,8.4,6.3,2.9,5
6/4/20 12:37,6/4/20 12:44,IP Address,,100,432,TRUE,6/4/20 12:44,R_1K8SMm44ih1nv0E,,,,,,,anonymous,EN,Tyrion Lannister,tlannister,10,10,0,10,10,5.5,10,9.1,8.8,1.8,8.4,10,4.8,9.6,6.7,8.6,5,2.9,7.4,5,8.5,5.2,2,8.2,0.9,5,5.1,8.4,1.4,2.7
6/4/20 12:44,6/4/20 12:48,IP Address,,100,241,TRUE,6/4/20 12:48,R_AmId3z5Egx5A1Tb,,,,,,,anonymous,EN,Ahsoka Tano,ladytano,3,7.1,6.2,5,7.6,5,7.7,9.4,3.1,5.3,6.3,6.9,3.9,3,6.2,5.5,6.2,6.2,6.1,7.5,5,4,7,3.5,7.2,5,9.5,4.2,3.4,2.4
6/4/20 12:58,6/4/20 13:13,IP Address,,100,880,TRUE,6/4/20 13:13,R_voF5BuV2dZjbSpj,,,,,,,anonymous,EN,Sansa Stark,sstark,1.1,2.7,4.1,9.6,8.4,5,4.1,8.4,4.2,9.7,7.4,5,8.7,3.1,2.2,3.5,7.8,4.6,1.8,3.5,8.7,10,8.4,8.2,9.4,2.1,3.7,2.5,1.5,1.8
6/6/20 11:28,6/6/20 11:40,IP Address,,100,718,TRUE,6/6/20 11:40,R_10CwR2b0fAXeXSu,,,,,,,anonymous,EN,Barack Obama,potus,9.1,8.2,1.6,6.5,5.9,2.5,4.2,8.1,6.1,1.7,8.7,0.9,3.7,8,10,3.2,8.5,7.1,2.3,3.9,2.3,3.1,3.7,3.1,1.6,7.5,1.6,3.7,0,7
6/6/20 11:40,6/6/20 12:29,IP Address,,100,2970,TRUE,6/6/20 12:29,R_zT1TVDIpXD1pGpj,,,,,,,anonymous,EN,Michael Jordan,airjordan,3.2,7.7,3.5,5,6.3,3.4,1.8,4.2,7.3,6,6.5,1.8,4.6,6.6,5,6.9,9.1,5.6,1,3.9,7,3.2,3.9,1,3.7,7,1.8,3.5,6.9,5.5
6/6/20 12:47,6/6/20 12:49,IP Address,,100,114,TRUE,6/6/20 12:49,R_svvqNFEpHRGQaDT,,,,,,,anonymous,EN,John Boyega,fn2187,7.1,3.6,5.6,8.9,7.6,3.2,5.7,7.3,8.5,3.6,4.3,3.2,6.5,8.2,0.1,1.9,7.1,9,0,10,5,3.1,7.5,1.3,9,9.8,0,8.5,1.8,5
6/6/20 12:50,6/6/20 12:51,IP Address,,100,99,TRUE,6/6/20 12:51,R_2bZQkRbTUvOQbB1,,,,,,,anonymous,EN,Dwayne Johnson,therock,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6/6/20 12:52,6/6/20 12:53,IP Address,,100,82,TRUE,6/6/20 12:53,R_3m8EjQhXsQG2dG9,,,,,,,anonymous,EN,Harry Potter,hpotter,6.4,7.7,9.3,0,1.3,3.7,2.7,1.7,9.6,8.1,9.1,8.1,9.1,8.2,6.2,0.6,2.9,2.2,1.2,4.1,5,7.8,2.4,6.5,8,7,8.3,8.2,9.1,6.9
6/6/20 12:54,6/6/20 12:55,IP Address,,100,83,TRUE,6/6/20 12:55,R_3lGgXiA9ekQyGcs,,,,,,,anonymous,EN,Ron Weasley ,rweasley,0.7,2.3,0.7,2.4,0.7,2.2,0.8,2.3,0.8,2.3,0.7,2.1,0.5,2.1,0.8,1,2.4,0.8,2.8,0.9,0.7,2.3,0.9,2.5,0.8,1,2.5,1.3,2.4,0.8
6/6/20 12:55,6/6/20 12:57,IP Address,,100,69,TRUE,6/6/20 12:57,R_245XBWucvS4tIhC,,,,,,,anonymous,EN,Hermione Granger,hgranger,10,8.6,10,8.4,10,8,10,7.8,9.5,8.3,9.5,7.5,10,6.9,8.9,10,5.9,9.4,6.8,8.7,7.7,9.6,7.2,9.2,7.7,7.7,9.6,7.4,10,8.7
